species,7  Li ,23  Na,24  Mg ,27  Al,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,57  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,88  Sr  [ He ] ,111  Cd  [ He ] ,137  Ba  [ He ] ,139  La  [ He ] ,146  Nd  [ He ] ,147  Sm  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ He ] ,238  U  [ He ] 
Peneroplis,,,146023.2177,,,,111.7979548,,,,119.6674564,,,,1758.245293,0.2102037613,,5.848956725,5.244776192,0.9384869219,14.83587388,13.30562165,13.91007541,0.1509821068
Peneroplis,,,146433.4382,,,,101.0191205,,,,58.51802107,29.99470323,,,1826.551929,0.1292381581,,4.918656108,4.275152099,0.9737259169,12.07500093,10.68099733,11.24006644,0.1566437078
Peneroplis,,,152220.5646,,,,115.597663,,,,84.30742622,23.09116281,,,1798.670039,0.1886713449,,5.061454949,4.547813303,0.9230387575,14.24890524,12.66480038,13.32717048,0.1642526229
Peneroplis,,,147575.96,,,,103.3592285,,,,35.81437625,,,,1783.00498,0.184486413,,5.722085511,5.203494729,1.092270361,18.12095376,16.12070873,16.76988516,0.1560777008
Peneroplis,,89391.60075,145540.8198,,,,106.9209435,,,,19.02338453,,,,1736.729864,0.1776327138,,5.407053584,4.575881195,0.9297546013,17.70240651,15.62478064,16.34056269,0.1342962975
Peneroplis,,,144054.8207,,,,137.6524654,116.2268383,127.1743188,,8.625614717,17.00288997,182.1262615,1.458221867,1762.268568,0.2156716941,,6.022608278,5.3322668,0.950527066,36.49685286,31.62231723,33.44030894,0.147317142
Peneroplis,,,144791.4251,,,,124.8820397,,,,7.278633253,14.69423075,164.3535746,1.368461968,1818.418868,0.247460909,,5.610669104,5.162276917,1.055353706,29.80712001,26.09185447,27.50120049,0.1466416833
Peneroplis,,34573.87786,144631.6842,,,,127.0033344,,112.1231255,,5.626982269,13.92692046,135.1994366,1.05491692,1778.29185,0.1320937549,,5.703879131,5.040665934,0.9823344105,27.61594653,24.31542216,25.51651583,0.133691616
Peneroplis,,159059.7822,143037.9343,,,,131.4151461,,,,,13.94641923,247.2502625,,1777.730638,0.2131612206,,5.961207783,5.40281084,1.095921932,32.14841202,28.13402316,29.48429643,0.1314372613
Sorites,6.916937957,,146943.9611,267.6815905,0.4273492092,0.8951846433,292.9576835,138.6503208,154.7678001,0.479297902,4.052509131,10.71530695,92.86511301,1.863668105,1980.38631,0.1676895116,5.15185963,6.394431889,6.569218728,1.032974461,15.94428054,14.3567278,14.94111597,0.1653018669
Sorites,,8889.025064,147141.4327,162.2974957,0.3799749772,0.730085696,283.4910791,103.0913663,117.835388,0.4731245997,230.2827483,10.29800034,95.25487734,2.476441501,1980.808886,0.1614076765,4.830794247,6.949769487,7.319190374,1.06594442,17.13923854,15.48965507,16.08016222,0.1730124323
Sorites,5.220937725,12003.45142,144665.8096,177.070188,0.3290830449,0.7163359287,288.7615007,98.50963774,112.9809247,0.4367971313,2.282229837,7.552575602,83.6897649,2.146117283,1994.502492,0.1443823009,5.494785553,6.709775241,7.002556347,1.121607928,16.46056264,14.83606189,15.36777592,0.1697854734
Sorites,4.584210195,6662.443092,145491.1462,186.9666295,0.395412031,0.8350783379,300.403664,108.1095486,127.8751384,0.4245348453,3.254780402,11.95927958,121.2188429,1.877015854,2001.595151,0.1656423973,5.49192914,7.061000433,7.640145959,1.167967364,21.09816777,19.0789427,19.77468471,0.1700905971
Sorites,,14747.69359,146431.5082,51.65288161,0.2481887376,0.9542252227,316.1288016,69.22749556,84.43901627,0.4454604391,2.360650269,15.16184106,99.04699171,1.55808545,1965.349529,0.2018217903,5.0668361,6.23312263,6.437452931,0.9266728388,35.11893756,31.39545664,32.64830169,0.1621088118
Sorites,8.80517269,7910.317897,145401.1368,79.54991864,0.2462957656,0.6756258224,311.0387712,80.76215257,95.94032008,0.4507603623,2.210482777,24.6569263,143.5469277,2.041272782,1962.138368,0.1996033096,4.75661422,6.51457793,6.874046907,1.097100467,61.94517468,54.09129305,59.38840463,0.1584488446
Sorites,6.892559955,9758.67168,148916.4914,114.7706964,0.3780235562,1.326309058,318.7841475,91.09718081,104.0637582,0.4943475416,2.20890053,27.44587101,128.3028006,1.375283317,2001.37933,0.1835069529,5.100373006,6.733409837,7.034507954,1.08224638,43.78420647,38.62867064,40.32556218,0.1634292482
Sorites,,15597.28902,141165.7557,238.8506092,0.4801425548,2.352273098,338.2482945,171.773626,182.0073169,0.6799015767,4.922435242,37.7217423,181.4665128,1.314614907,2211.555603,0.2219878704,7.176436804,6.741169491,7.312097333,1.111160887,89.6139807,79.24077156,84.95480217,0.2359928524
Sorites,,10416.27484,147800.6944,,0.1820017686,,318.5249148,63.59418424,70.56061764,0.4682426653,2.021510128,22.06950242,145.9746955,1.467202437,1885.475833,0.20892852,5.210409937,5.341459456,5.337549351,0.7830569775,43.76759015,38.32044566,40.11786388,0.1550934499
Sorites,,13321.60673,147558.2002,64.83433653,0.2855139641,0.8294499552,288.7309848,87.65230726,97.48797129,0.3847498383,1.992546066,22.76528258,165.6609852,2.205195467,1939.703278,0.1774449178,4.29746528,6.970995438,7.594376576,1.136315373,57.62021501,50.57168793,52.951718,0.1511079296
Sorites,,,145900.4789,88.08828443,0.572144154,,256.9236317,93.34669674,93.09891804,0.4447373757,3.845939366,15.0823601,77.56983705,1.144366026,1774.341951,0.09576052207,,5.418544596,5.249099646,0.8838745669,15.1634589,13.44055798,14.10829059,0.1715160182
Sorites,,,154748.0252,,0.390854883,,250.3972638,,,,,,,0.6853197502,1812.463381,0.1150398614,,5.599499422,5.383659491,0.8684518215,14.52740534,12.86426398,13.49597682,0.1772162128
Sorites,,,141866.771,,,,192.624686,,,,18.44697416,57.35347073,,,1754.583958,0.09767349855,,4.849003907,4.659844249,0.6940768631,12.94634497,11.68115286,12.07823729,0.1640704615
Sorites,,87260.10318,140277.0015,,0.4588628782,,224.2915689,,,,,,,0.9958482828,1726.332545,0.08391742739,,5.737177915,5.996602103,1.045064834,16.29054624,14.4020872,15.20143314,0.1616785406
Sorites,,,144278.4417,,,,285.0065103,,,,,11.15389249,,1.147109111,1788.997744,0.1477023858,,5.998526155,5.952578862,1.088590323,21.7840092,19.23922862,20.16796352,0.1706493003
Sorites,,,147112.3515,,0.263664657,,264.7376063,62.00724835,64.53908528,,13.58379686,175.2643022,135.174554,1.382083687,1801.074149,0.1757582715,,5.870593386,5.80543782,1.028143917,45.99120858,40.32933763,42.39597156,0.1624214087
Sorites,,,150058.5833,,0.4344896905,,303.2585566,70.19891786,79.00550666,0.3893246267,,39.49693036,213.2072707,1.632448394,1748.025931,0.1990053634,6.733988817,5.316355721,5.002530426,0.9681600765,78.26896833,67.74340095,71.75068284,0.1601481054
Sorites,,20485.53547,148683.9788,,0.4255597154,,265.0581378,60.57063301,66.22220993,0.3819546251,,32.52935701,168.0415913,1.169566618,1749.43972,0.1839232745,,5.395952179,5.104596723,1.045919469,64.12947998,55.30903393,58.58532492,0.1523825052
Sorites,,,148796.9605,,0.3805964574,,316.4491223,80.62355049,85.88455565,0.4688967276,,27.1930586,171.09182,1.128728538,1745.88414,0.1667646604,5.526992132,5.202771829,5.25734446,0.8659486616,78.98994143,68.14486045,72.18529921,0.1538495948
Sorites,,,149507.2704,,0.2422277721,,343.1518273,46.6333365,53.1846872,0.5034136935,,41.39317997,271.9488084,0.8099990032,1767.776826,0.2520456246,5.23071119,5.53600803,5.533101996,0.9798402938,93.92675389,80.38106631,85.29115711,0.1619275986
Sorites,,119598.0341,135308.9711,,,,184.3010142,,,,,,,,1747.92933,0.1699891887,,4.996921832,4.617375458,0.8009802695,16.91037057,15.15769199,15.77754731,0.1646405253
Sorites,,218914.2287,146928.7008,,,,189.9465773,,,,,,,,1798.345966,0.1454976042,,5.393328881,4.786190127,0.8611144419,19.90787158,18.00421432,18.69891436,0.1733458604
Sorites,,,137192.733,,,,152.015499,,,,,,,,1697.712559,0.1238429859,,4.469976497,4.115819806,0.4869583253,35.88566967,30.94432624,32.49320794,0.1581617122
Sorites,,215053.2559,140909.7079,350.6409278,,,205.2485582,,,,,,,1.877165916,1724.808451,0.2410678525,,4.954783706,4.534259613,0.8766243106,24.54104704,21.58805572,22.60866583,0.1717803772
